Jurisdiction,Measure Names,Measure Values
Harrison,Percent of Population Initiating Vaccination,0.387811303
Grundy,Percent of Population Initiating Vaccination,0.421827411
Greene,Percent of Population Initiating Vaccination,0.580631623
Gentry,Percent of Population Initiating Vaccination,0.479835641
Gasconade,Percent of Population Initiating Vaccination,0.505303958
Franklin,Percent of Population Initiating Vaccination,0.577558264
Dunklin,Percent of Population Initiating Vaccination,0.414335244
Douglas,Percent of Population Initiating Vaccination,0.283048919
Dent,Percent of Population Initiating Vaccination,0.378603994
DeKalb,Percent of Population Initiating Vaccination,0.343349008
Daviess,Percent of Population Initiating Vaccination,0.407586374
Dallas,Percent of Population Initiating Vaccination,0.401528617
Dade,Percent of Population Initiating Vaccination,0.474672662
Crawford,Percent of Population Initiating Vaccination,0.392474916
Cooper,Percent of Population Initiating Vaccination,0.499858829
Cole,Percent of Population Initiating Vaccination,0.592155841
Clinton,Percent of Population Initiating Vaccination,0.534801589
Clay,Percent of Population Initiating Vaccination,0.538187256
Clark,Percent of Population Initiating Vaccination,0.323083713
Christian,Percent of Population Initiating Vaccination,0.522535132
Chariton,Percent of Population Initiating Vaccination,0.466065176
Cedar,Percent of Population Initiating Vaccination,0.385810858
Cass,Percent of Population Initiating Vaccination,0.583945823
Carter,Percent of Population Initiating Vaccination,0.362754931
Carroll,Percent of Population Initiating Vaccination,0.512155778
Cape Girardeau,Percent of Population Initiating Vaccination,0.563920833
Camden,Percent of Population Initiating Vaccination,0.477594212
Callaway,Percent of Population Initiating Vaccination,0.542945265
Caldwell,Percent of Population Initiating Vaccination,0.423835920
Butler,Percent of Population Initiating Vaccination,0.401855078
Buchanan,Percent of Population Initiating Vaccination,0.489240419
Boone,Percent of Population Initiating Vaccination,0.716152341
Bollinger,Percent of Population Initiating Vaccination,0.340229127
Benton,Percent of Population Initiating Vaccination,0.520598673
Bates,Percent of Population Initiating Vaccination,0.442493198
Barton,Percent of Population Initiating Vaccination,0.372979411
Barry,Percent of Population Initiating Vaccination,0.464751739
Audrain,Percent of Population Initiating Vaccination,0.450173310
Atchison,Percent of Population Initiating Vaccination,0.597316741
Andrew,Percent of Population Initiating Vaccination,0.495313911
Adair,Percent of Population Initiating Vaccination,0.527009431
Wright,COVID-19 Vaccine Regimen Completed,6873
Worth,COVID-19 Vaccine Regimen Completed,808
Webster,COVID-19 Vaccine Regimen Completed,16375
Wayne,COVID-19 Vaccine Regimen Completed,4124
