table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Missouri: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Ripley County, Missouri","10,676","10,670","10,648","10,699","10,809","10,715",,,,,,,,,,,,,,,,,,,,,,,,,,,
".St. Charles County, Missouri","405,265","406,423","410,515","414,055","417,958","423,726",,,,,,,,,,,,,,,,,,,,,,,,,,,
".St. Clair County, Missouri","9,282","9,346","9,416","9,581","9,743","9,848",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Ste. Genevieve County, Missouri","18,479","18,478","18,576","18,614","18,640","18,546",,,,,,,,,,,,,,,,,,,,,,,,,,,
".St. Francois County, Missouri","66,919","66,446","67,015","66,938","67,094","67,503",,,,,,,,,,,,,,,,,,,,,,,,,,,
".St. Louis County, Missouri","1,004,501","1,003,376","998,785","991,881","990,875","992,929",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Saline County, Missouri","23,334","23,339","23,263","23,016","23,212","23,325",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Schuyler County, Missouri","4,033","4,010","4,020","4,016","4,073","4,069",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Scotland County, Missouri","4,715","4,705","4,674","4,653","4,698","4,698",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Scott County, Missouri","38,054","38,022","37,894","37,869","37,923","37,957",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Shannon County, Missouri","7,033","7,035","7,100","7,223","7,254","7,275",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Shelby County, Missouri","6,110","6,095","5,974","6,004","5,930","5,926",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Stoddard County, Missouri","28,676","28,650","28,522","28,366","28,372","28,438",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Stone County, Missouri","31,072","31,205","31,590","32,137","32,680","32,630",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Sullivan County, Missouri","5,987","5,976","5,891","5,828","5,841","5,750",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Taney County, Missouri","56,058","56,064","56,313","56,736","56,790","56,744",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Texas County, Missouri","24,483","24,323","24,864","25,298","25,606","25,715",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Vernon County, Missouri","19,712","19,675","19,598","19,608","19,768","19,787",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Warren County, Missouri","35,535","35,740","36,562","37,292","37,815","38,478",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Washington County, Missouri","23,517","23,432","23,403","23,389","23,542","23,583",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Wayne County, Missouri","10,973","10,935","10,925","10,807","10,825","10,820",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Webster County, Missouri","39,084","39,008","39,600","40,369","41,481","42,041",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Worth County, Missouri","1,973","1,968","1,973","1,943","1,903","1,872",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Wright County, Missouri","18,187","18,214","18,625","19,108","19,373","19,505",,,,,,,,,,,,,,,,,,,,,,,,,,,
".St. Louis city, Missouri","301,371","300,315","293,484","286,292","282,772","279,695",,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0078).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: The estimates are developed from a base that integrates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates.  For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2024 population estimates series are as of January 1, 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Missouri: April 1, 2020 to July 1, 2024 (CO-EST2024-POP-29)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date: March 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
